"location","context","source","target"
"doc.glossary_of_terms_and_definitions.table_cell.36aee4372b7b","glossary_of_terms_and_definitions|table_cell","Cambridge Dictionary: Intellectu- al property","Cambridge Dictionary: Intellectueel eigendom"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a919b3085de8.3","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2. Communication and collaboration\nTo interact, share, communicate and collaborate through digital technologies in digital environments while being aware of cultural,\nand generational and other diversity and the features and limitations of digital technologies. To participate in society through public and private digital services and\nparticipatory citizenship digital technologies. To assert one’s rights and exercise choice\nin digital environments. To manage one’s digital presence, identity and reputation.\nRationale: Share is added to provide a complete description of this competence area.\nFeatures and limitations of digital technologies is added to convey the importance\nof informed usage. Public and private digital services and participatory citizenship is replaced with simpler wording. Other diversity is included as diversity may not solely be related to cultural or generational differences.\nAssertion of choice and exercising of rights are relevant to this competence, particularly in response to algorithmic personalisation and related features of commercial digital\nplatforms and services.","2. Communicatie en samenwerking\nInteractie aangaan, delen, communiceren en samenwerken via digitale technologieën in digitale omgevingen, met aandacht voor culturele, generationele en andere diversiteit en de kenmerken en beperkingen van digitale technologieën. Deelnemen aan de samenleving via digitale technologieën. Rechten doen gelden en keuzes maken in digitale omgevingen. De eigen digitale aanwezigheid, identiteit en reputatie beheren.\nRationale: 'Delen' is toegevoegd om een volledige beschrijving van dit competentiegebied te geven. 'Kenmerken en beperkingen van digitale technologieën' is toegevoegd om het belang van geïnformeerd gebruik over te dragen. 'Publieke en private digitale diensten en participatief burgerschap' is vervangen door een eenvoudigere formulering. 'Andere diversiteit' is opgenomen omdat diversiteit niet uitsluitend gerelateerd hoeft te zijn aan culturele of generationele verschillen. Het opeisen van keuzemogelijkheden en het uitoefenen van rechten zijn relevant voor deze competentie, met name als reactie op algoritmische personalisering en gerelateerde kenmerken van commerciële digitale platforms en diensten."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.87e8903404a7","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2.4 Collaborating through digital technologies\nTo use digital tools and technologies ethically and responsibly for collaborative processes purposes, and for the co-construction and co-creation of data information, resources and knowledge.\nRationale: Ethically and responsibly is added to signal the importance of ethical and responsible collaboration, particularly in human-AI collaboration. Purposes replaces processes to convey that the use of digital technologies, particularly in collaboration, should is purpose-driven (rather than process- driven). Data is replaced with information as a more generic term for overall framework consistency.","2.4 Samenwerken via digitale technologieën\nDigitale technologieën ethisch en verantwoord gebruiken voor samenwerking, en voor de co-constructie en co-creatie van informatie, middelen en kennis.\nRationale: 'Ethisch en verantwoord' is toegevoegd om het belang van ethisch en verantwoord samenwerken te benadrukken, met name bij de samenwerking tussen mens en AI. 'Doeleinden' vervangt 'processen' om over te dragen dat het gebruik van digitale technologieën, zeker bij samenwerking, doelgericht (in plaats van procesgericht) moet zijn. 'Gegevens' is vervangen door 'informatie' als een meer generieke term voor de algemene consistentie van het kader."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a919b3085de8.4","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2. Communication and collaboration\nTo interact, share, communicate and collaborate through digital technologies in digital environments while being aware of cultural,\nand generational and other diversity and the features and limitations of digital technologies. To participate in society through public and private digital services and\nparticipatory citizenship digital technologies. To assert one’s rights and exercise choice\nin digital environments. To manage one’s digital presence, identity and reputation.\nRationale: Share is added to provide a complete description of this competence area.\nFeatures and limitations of digital technologies is added to convey the importance\nof informed usage. Public and private digital services and participatory citizenship is replaced with simpler wording. Other diversity is included as diversity may not solely be related to cultural or generational differences.\nAssertion of choice and exercising of rights are relevant to this competence, particularly in response to algorithmic personalisation and related features of commercial digital\nplatforms and services.","2. Communicatie en samenwerking\nInteractie aangaan, delen, communiceren en samenwerken via digitale technologieën in digitale omgevingen, met aandacht voor culturele, generationele en andere diversiteit en de kenmerken en beperkingen van digitale technologieën. Deelnemen aan de samenleving via digitale technologieën. Rechten doen gelden en keuzes maken in digitale omgevingen. De eigen digitale aanwezigheid, identiteit en reputatie beheren.\nRationale: 'Delen' is toegevoegd om een volledige beschrijving van dit competentiegebied te geven. 'Kenmerken en beperkingen van digitale technologieën' is toegevoegd om het belang van geïnformeerd gebruik over te dragen. 'Publieke en private digitale diensten en participatief burgerschap' is vervangen door een eenvoudigere formulering. 'Andere diversiteit' is opgenomen omdat diversiteit niet uitsluitend gerelateerd hoeft te zijn aan culturele of generationele verschillen. Het opeisen van keuzemogelijkheden en het uitoefenen van rechten zijn relevant voor deze competentie, met name als reactie op algoritmische personalisering en gerelateerde kenmerken van commerciële digitale platforms en diensten."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.7818eea974a1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2.5 Netiquette Digital behaviour\nRationale: The competence is re-named to reflect more updated terminology.\nTo be aware of behavioural norms, and to know-how know how to behave respectfully while using digital technologies and interacting in digital environments. To adapt communication to the specific audience specific contexts, and to be aware of and respect cultural, generational and other diversity in digital environments.\nRationale: Know-how is replaced by know how to behave respectfully for clarity. Specific contexts replaces the specific audience as a more general term (as communication may vary for reasons other than audience). Being aware of and respecting diversity is included to convey agency. Other diversity is included as diversity may not solely be related to cultural or generational differences.","2.5 Digitaal gedrag\nRationale: De competentie is hernoemd om modernere terminologie te weerspiegelen.\nBewust zijn van gedragsnormen en weten hoe respectvol te handelen bij het gebruik van digitale technologieën en interactie in digitale omgevingen. Communicatie aanpassen aan specifieke contexten, en culturele, generationele en andere diversiteit in digitale omgevingen kennen en respecteren.\nRationale: 'Know-how' is voor de duidelijkheid vervangen door 'weten hoe respectvol te handelen'. 'Specifieke contexten' vervangt 'het specifieke publiek' als een algemenere term (omdat communicatie kan variëren om andere redenen dan alleen het publiek). Het bewust zijn van en respecteren van diversiteit is opgenomen om zelfsturing over te dragen. 'Andere diversiteit' is opgenomen omdat diversiteit niet uitsluitend gerelateerd hoeft te zijn aan culturele of generationele verschillen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.a919b3085de8.5","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2. Communication and collaboration\nTo interact, share, communicate and collaborate through digital technologies in digital environments while being aware of cultural,\nand generational and other diversity and the features and limitations of digital technologies. To participate in society through public and private digital services and\nparticipatory citizenship digital technologies. To assert one’s rights and exercise choice\nin digital environments. To manage one’s digital presence, identity and reputation.\nRationale: Share is added to provide a complete description of this competence area.\nFeatures and limitations of digital technologies is added to convey the importance\nof informed usage. Public and private digital services and participatory citizenship is replaced with simpler wording. Other diversity is included as diversity may not solely be related to cultural or generational differences.\nAssertion of choice and exercising of rights are relevant to this competence, particularly in response to algorithmic personalisation and related features of commercial digital\nplatforms and services.","2. Communicatie en samenwerking\nInteractie aangaan, delen, communiceren en samenwerken via digitale technologieën in digitale omgevingen, met aandacht voor culturele, generationele en andere diversiteit en de kenmerken en beperkingen van digitale technologieën. Deelnemen aan de samenleving via digitale technologieën. Rechten doen gelden en keuzes maken in digitale omgevingen. De eigen digitale aanwezigheid, identiteit en reputatie beheren.\nRationale: 'Delen' is toegevoegd om een volledige beschrijving van dit competentiegebied te geven. 'Kenmerken en beperkingen van digitale technologieën' is toegevoegd om het belang van geïnformeerd gebruik over te dragen. 'Publieke en private digitale diensten en participatief burgerschap' is vervangen door een eenvoudigere formulering. 'Andere diversiteit' is opgenomen omdat diversiteit niet uitsluitend gerelateerd hoeft te zijn aan culturele of generationele verschillen. Het opeisen van keuzemogelijkheden en het uitoefenen van rechten zijn relevant voor deze competentie, met name als reactie op algoritmische personalisering en gerelateerde kenmerken van commerciële digitale platforms en diensten."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.6df12c9bbb0d","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","2.6 Managing digital identity\nTo create and manage one or multiple digital identities. To be able to take actions to help protect one’s digital reputation and to deal with the data that one produces through several tools, environments and services (how one is perceived based on online presence), and to manage one’s digital footprint (the data that is produced through use of and by digital platforms and services).\nRationale: Creation of digital identities is removed, since some aspects of digital identities are passively generated in digital environments. Taking action to help protect rather than being able to protect is preferred as a more active formulation. The final part of the descriptor is edited to signal the relationship between digital footprint and digital reputation.","2.6 Beheren van de digitale identiteit\nEen of meerdere digitale identiteiten beheren. Acties ondernemen om de eigen digitale reputatie te helpen beschermen (hoe men wordt waargenomen op basis van online aanwezigheid), en de eigen digitale voetafdruk beheren (de gegevens die worden geproduceerd door het gebruik van en door digitale platforms en diensten).\nRationale: Het 'creëren' van digitale identiteiten is verwijderd, omdat sommige aspecten van digitale identiteiten passief worden gegenereerd in digitale omgevingen. 'Acties ondernemen om te helpen beschermen' heeft de voorkeur boven 'in staat zijn om te beschermen' als een actievere formulering. Het laatste deel van de descriptor is aangepast om de relatie tussen digitale voetafdruk en digitale reputatie aan te geven."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.8325d3707b71","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence area and descriptor","Competentiegebied en descriptor"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.222e9b13ac95.2","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence and descriptor","Competentie en descriptor"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.ed8770733690","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","3. Digital Content creation\nRationale: Digital is removed as it is superfluous\nTo create and edit digital content. To improve and integrate information and content into an existing body of knowledge while understanding how copyright and licences are to be applied, adopting an ethical and responsible approach in the creation, improvement and integration of digital content. To know how to apply computational thinking and programming techniques to give understandable instructions for to a computer system.\nRationale: Reference to an ethical and responsible approach to content creation is added to convey the importance of this aspect, particularly in the use of AI\nsystems. Computational thinking is added to the competence area descriptor to align it to changes to Competence 3.4. Under- standable is removed as it is superfluous.","3. Contentcreatie\nRationale: 'Digital' is verwijderd omdat het overbodig is.\nDigitale inhoud creëren en bewerken. Informatie en inhoud verbeteren en integreren in een bestaand geheel van kennis, met begrip van de wijze waarop auteursrechten en licenties moeten worden toegepast, en uitgaande van een ethische en verantwoorde aanpak bij het creëren, verbeteren en integreren van digitale inhoud. Weten hoe computationeel denken en programmeertechnieken moeten worden toegepast om instructies te geven aan een computersysteem.\nRationale: Verwijzing naar een ethische en verantwoorde aanpak bij contentcreatie is toegevoegd om het belang van dit aspect te benadrukken, met name bij het gebruik van AI-systemen. 'Computationeel denken' is toegevoegd aan de descriptor van het competentiegebied om aan te sluiten bij de wijzigingen in competentie 3.4. 'Begrijpelijk' is verwijderd omdat het overbodig is."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.434a728ce6e6","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","3.1 Developing digital content\nTo create and edit digital content in different formats. To use digital technologies ethically and responsibly to create and edit a variety of content. To express oneself through digital means.\nRationale: Ethically and responsibly is added due to the proliferation of AI systems, particularly generative AI, for content creation Minor re-wording is made for clarification. Relevant is removed as it is superfluous.","3.1 Ontwikkelen van digitale inhoud\nDigitale technologieën ethisch en verantwoord gebruiken om uiteenlopende inhoud te creëren en te bewerken. Zichzelf uitdrukken via digitale middelen.\nRationale: 'Ethisch en verantwoord' is toegevoegd vanwege de verspreiding van AI-systemen, met name generatieve AI, voor contentcreatie. Kleine tekstuele aanpassingen ter verduidelijking. 'Relevant' is verwijderd omdat het overbodig is."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.ed8770733690.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","3. Digital Content creation\nRationale: Digital is removed as it is superfluous\nTo create and edit digital content. To improve and integrate information and content into an existing body of knowledge while understanding how copyright and licences are to be applied, adopting an ethical and responsible approach in the creation, improvement and integration of digital content. To know how to apply computational thinking and programming techniques to give understandable instructions for to a computer system.\nRationale: Reference to an ethical and responsible approach to content creation is added to convey the importance of this aspect, particularly in the use of AI\nsystems. Computational thinking is added to the competence area descriptor to align it to changes to Competence 3.4. Under- standable is removed as it is superfluous.","3. Contentcreatie\nRationale: 'Digital' is verwijderd omdat het overbodig is.\nDigitale inhoud creëren en bewerken. Informatie en inhoud verbeteren en integreren in een bestaand geheel van kennis, met begrip van de wijze waarop auteursrechten en licenties moeten worden toegepast, en uitgaande van een ethische en verantwoorde aanpak bij het creëren, verbeteren en integreren van digitale inhoud. Weten hoe computationeel denken en programmeertechnieken moeten worden toegepast om instructies te geven aan een computersysteem.\nRationale: Verwijzing naar een ethische en verantwoorde aanpak bij contentcreatie is toegevoegd om het belang van dit aspect te benadrukken, met name bij het gebruik van AI-systemen. 'Computationeel denken' is toegevoegd aan de descriptor van het competentiegebied om aan te sluiten bij de wijzigingen in competentie 3.4. 'Begrijpelijk' is verwijderd omdat het overbodig is."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.9de8eecb35c5","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","3.2 Integrating and re-elaborating digital content\nTo modify, refine and integrate new information and content into an existing body of knowledge and resources to create new and original and relevant content and knowledge.","3.2 Integreren en herbewerken van digitale inhoud\nNieuwe informatie en inhoud aanpassen, verfijnen en integreren in bestaande kennis en middelen om nieuwe en originele inhoud en kennis te creëren."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.ed8770733690.2","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","3. Digital Content creation\nRationale: Digital is removed as it is superfluous\nTo create and edit digital content. To improve and integrate information and content into an existing body of knowledge while understanding how copyright and licences are to be applied, adopting an ethical and responsible approach in the creation, improvement and integration of digital content. To know how to apply computational thinking and programming techniques to give understandable instructions for to a computer system.\nRationale: Reference to an ethical and responsible approach to content creation is added to convey the importance of this aspect, particularly in the use of AI\nsystems. Computational thinking is added to the competence area descriptor to align it to changes to Competence 3.4. Under- standable is removed as it is superfluous.","3. Contentcreatie\nRationale: 'Digital' is verwijderd omdat het overbodig is.\nDigitale inhoud creëren en bewerken. Informatie en inhoud verbeteren en integreren in een bestaand geheel van kennis, met begrip van de wijze waarop auteursrechten en licenties moeten worden toegepast, en uitgaande van een ethische en verantwoorde aanpak bij het creëren, verbeteren en integreren van digitale inhoud. Weten hoe computationeel denken en programmeertechnieken moeten worden toegepast om instructies te geven aan een computersysteem.\nRationale: Verwijzing naar een ethische en verantwoorde aanpak bij contentcreatie is toegevoegd om het belang van dit aspect te benadrukken, met name bij het gebruik van AI-systemen. 'Computationeel denken' is toegevoegd aan de descriptor van het competentiegebied om aan te sluiten bij de wijzigingen in competentie 3.4. 'Begrijpelijk' is verwijderd omdat het overbodig is."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.5bee6e9ee2b6","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","3.3 Copyright and licences\nTo understand how copyright and licences, as well as associated legal and ethical issues, apply to digital information and content , and how to correctly apply them.\nRationale: The competence descriptor is broadened slightly to include legal and ethical issues relating to copyright and licences given the impacts of AI systems on this competence. Information is removed as it is superfluous. Correct application, as well as understanding, is a relevant, and action-oriented, part of this competence.","3.3 Auteursrecht en licenties\nBegrijpen hoe auteursrecht en licenties, evenals de daarmee verbonden juridische en ethische kwesties, van toepassing zijn op digitale inhoud en hoe deze correct moeten worden toegepast.\nRationale: De descriptor van de competentie is enigszins verbreed om juridische en ethische kwesties met betrekking tot auteursrecht en licenties op te nemen, gezien de impact van AI-systemen op deze competentie. 'Informatie' is verwijderd omdat het overbodig is. Correcte toepassing is, naast begrip, een relevant en actiegericht onderdeel van deze competentie."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.ed8770733690.3","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","3. Digital Content creation\nRationale: Digital is removed as it is superfluous\nTo create and edit digital content. To improve and integrate information and content into an existing body of knowledge while understanding how copyright and licences are to be applied, adopting an ethical and responsible approach in the creation, improvement and integration of digital content. To know how to apply computational thinking and programming techniques to give understandable instructions for to a computer system.\nRationale: Reference to an ethical and responsible approach to content creation is added to convey the importance of this aspect, particularly in the use of AI\nsystems. Computational thinking is added to the competence area descriptor to align it to changes to Competence 3.4. Under- standable is removed as it is superfluous.","3. Contentcreatie\nRationale: 'Digital' is verwijderd omdat het overbodig is.\nDigitale inhoud creëren en bewerken. Informatie en inhoud verbeteren en integreren in een bestaand geheel van kennis, met begrip van de wijze waarop auteursrechten en licenties moeten worden toegepast, en uitgaande van een ethische en verantwoorde aanpak bij het creëren, verbeteren en integreren van digitale inhoud. Weten hoe computationeel denken en programmeertechnieken moeten worden toegepast om instructies te geven aan een computersysteem.\nRationale: Verwijzing naar een ethische en verantwoorde aanpak bij contentcreatie is toegevoegd om het belang van dit aspect te benadrukken, met name bij het gebruik van AI-systemen. 'Computationeel denken' is toegevoegd aan de descriptor van het competentiegebied om aan te sluiten bij de wijzigingen in competentie 3.4. 'Begrijpelijk' is verwijderd omdat het overbodig is."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.b51df8fe44b3","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","3.4 Computational thinking and programming\nRationale: Computational thinking is added at the beginning of the competence title as it is a relevant aspect of digital competence.\nTo understand and implement steps to analyse a problem, recognise sub-problems, and plan and develop a sequence of understandable instructions for a computing system to solve a given problem or to perform a specific task.\nRationale: The first part of the competence descriptor is an addition to convey computational thinking competence, which is now included.\nUnderstandable is removed as it is superfluous.","3.4 Computationeel denken en programmeren\nRationale: 'Computationeel denken' is aan het begin van de competentietitel toegevoegd omdat het een relevant aspect van digitale competentie is.\nDe stappen begrijpen en uitvoeren om een probleem te analyseren, subproblemen te herkennen en een reeks instructies voor een computersysteem te plannen en te ontwikkelen om een gegeven probleem op te lossen of een specifieke taak uit te voeren.\nRationale: Het eerste deel van de descriptor is een toevoeging om de competentie computationeel denken over te dragen, die nu is opgenomen. 'Begrijpelijk' is verwijderd omdat het overbodig is."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.8325d3707b71.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence area and descriptor","Competentiegebied en descriptor"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.222e9b13ac95.3","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","Competence and descriptor","Competentie en descriptor"
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.1445f41cdf48","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","4. Safety, wellbeing and responsible use\nRationale: Wellbeing and responsible use are added to the competence area title to convey the full range of competences in this competence area.\nTo protect devices, content, personal data and privacy in digital environments.\nTo protect physical and psychological health support physical, mental and social wellbeing of oneself and others, and to be aware of benefits and risks of digital tech- nologies for social wellbeing and social inclusion. To be aware of the environmen- tal impact of digital technologies and their use, to take action to reduce such impact, and to use digital technologies to support sustainability.\nRationale: The wording is adjusted to re- fer to wellbeing as consisting of physical, mental and social aspects. Oneself and others is added to convey the importance of awareness of others’ wellbeing and in- clusion, not only one’s own. Taking action is added regarding environmental impacts and sustainable use of digital technolo- gies to convey agency.","4. Veiligheid, welzijn en verantwoord gebruik\nRationale: 'Welzijn' en 'verantwoord gebruik' zijn toegevoegd aan de titel van het competentiegebied om het volledige scala aan competenties in dit gebied weer te geven.\nApparaten, inhoud, persoonsgegevens en privacy beschermen in digitale omgevingen. Het fysieke, mentale en sociale welzijn van zichzelf en anderen ondersteunen, en zich bewust zijn van de voordelen en risico's van digitale technologieën voor het welzijn en sociale inclusie. Bewust zijn van de milieu-impact van digitale technologieën en het gebruik ervan, actie ondernemen om deze impact te verminderen en digitale technologieën gebruiken ter ondersteuning van duurzaamheid.\nRationale: De formulering is aangepast om te verwijzen naar welzijn als bestaande uit fysieke, mentale en sociale aspecten. 'Van zichzelf en anderen' is toegevoegd om het belang van bewustzijn van het welzijn en de inclusie van anderen te benadrukken, niet alleen dat van jezelf. 'Actie ondernemen' is toegevoegd met betrekking tot milieueffecten en duurzaam gebruik van digitale technologieën om zelfsturing over te dragen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.73166a86622f","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","4.1 Protecting devices\nTo apply safety and cybersecurity measures in order to protect digital devices and digital content , and to understand risks and threats in digital environments. To know about safety and security measures and have a due regard to reliability and privacy. To be aware of the evolving nature of risks and threats in digital environments, and to have due regard to security of digital devices and their contents.\nRationale: The wording is adjusted to bring the competence descriptor more clearly into scope with device protection. For example, the existing reference to reliability and privacy could show an overlap with Competence 4.2. The notion of understanding risks and threats is replaced by perspectives of awareness and applying protections, since cyber risks are growing increasingly complex.","4.1 Beschermen van apparaten\nVeiligheids- en cyberbeveiligingsmaatregelen toepassen om digitale apparaten en inhoud te beschermen. Bewust zijn van de veranderende aard van risico's en bedreigingen in digitale omgevingen, en aandacht hebben voor de beveiliging van digitale apparaten en hun inhoud.\nRationale: De formulering is aangepast om de descriptor van de competentie duidelijker binnen het bereik van apparaatbescherming te brengen. De bestaande verwijzing naar betrouwbaarheid en privacy zou bijvoorbeeld overlap met competentie 4.2 kunnen vertonen. Het begrip 'begrijpen van risico's en bedreigingen' is vervangen door perspectieven van 'bewustzijn' en 'toepassen van bescherming', aangezien cyberrisico's steeds complexer worden."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.1445f41cdf48.1","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","4. Safety, wellbeing and responsible use\nRationale: Wellbeing and responsible use are added to the competence area title to convey the full range of competences in this competence area.\nTo protect devices, content, personal data and privacy in digital environments.\nTo protect physical and psychological health support physical, mental and social wellbeing of oneself and others, and to be aware of benefits and risks of digital tech- nologies for social wellbeing and social inclusion. To be aware of the environmen- tal impact of digital technologies and their use, to take action to reduce such impact, and to use digital technologies to support sustainability.\nRationale: The wording is adjusted to re- fer to wellbeing as consisting of physical, mental and social aspects. Oneself and others is added to convey the importance of awareness of others’ wellbeing and in- clusion, not only one’s own. Taking action is added regarding environmental impacts and sustainable use of digital technolo- gies to convey agency.","4. Veiligheid, welzijn en verantwoord gebruik\nRationale: 'Welzijn' en 'verantwoord gebruik' zijn toegevoegd aan de titel van het competentiegebied om het volledige scala aan competenties in dit gebied weer te geven.\nApparaten, inhoud, persoonsgegevens en privacy beschermen in digitale omgevingen. Het fysieke, mentale en sociale welzijn van zichzelf en anderen ondersteunen, en zich bewust zijn van de voordelen en risico's van digitale technologieën voor het welzijn en sociale inclusie. Bewust zijn van de milieu-impact van digitale technologieën en het gebruik ervan, actie ondernemen om deze impact te verminderen en digitale technologieën gebruiken ter ondersteuning van duurzaamheid.\nRationale: De formulering is aangepast om te verwijzen naar welzijn als bestaande uit fysieke, mentale en sociale aspecten. 'Van zichzelf en anderen' is toegevoegd om het belang van bewustzijn van het welzijn en de inclusie van anderen te benadrukken, niet alleen dat van jezelf. 'Actie ondernemen' is toegevoegd met betrekking tot milieueffecten en duurzaam gebruik van digitale technologieën om zelfsturing over te dragen."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.0b6c119adb92","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","4.2 Protecting personal data and privacy\nTo protect be aware of and exercise one’s rights in relation to personal data and privacy in digital environments. To understand how to use and share personally identifiable information while being able to protect oneself and others from damages. To understand that digital services use a “Privacy policy” to inform how personal data is used. To evaluate and manage privacy risks and protect personal data and privacy in digital environments. To use and share one’s own and others’ personal data safely, ethically and responsibly.\nRationale: Awareness and exercising of rights is preferred to protecting one’s rights. The second part of the competence descriptor is re-formulated to convey a more general and up-to-date description of personal data and privacy protection.","4.2 Beschermen van persoonsgegevens en privacy\nBewust zijn van en uitoefenen van de eigen rechten met betrekking tot persoonsgegevens en privacy in digitale omgevingen. Privacyrisico's evalueren en beheren en persoonsgegevens en privacy beschermen in digitale omgevingen. Eigen persoonsgegevens en die van anderen veilig, ethisch en verantwoord gebruiken en delen.\nRationale: Bewustzijn en uitoefening van rechten geniet de voorkeur boven het beschermen van iemands rechten. Het tweede deel van de descriptor is geherformuleerd om een algemenere en actuelere beschrijving van de bescherming van persoonsgegevens en privacy te geven."
"doc.annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0.table_cell.1445f41cdf48.2","annexes.annex_1:_comparison_of_digcomp_2.2_and_digcomp_3.0|table_cell","4. Safety, wellbeing and responsible use\nRationale: Wellbeing and responsible use are added to the competence area title to convey the full range of competences in this competence area.\nTo protect devices, content, personal data and privacy in digital environments.\nTo protect physical and psychological health support physical, mental and social wellbeing of oneself and others, and to be aware of benefits and risks of digital tech- nologies for social wellbeing and social inclusion. To be aware of the environmen- tal impact of digital technologies and their use, to take action to reduce such impact, and to use digital technologies to support sustainability.\nRationale: The wording is adjusted to re- fer to wellbeing as consisting of physical, mental and social aspects. Oneself and others is added to convey the importance of awareness of others’ wellbeing and in- clusion, not only one’s own. Taking action is added regarding environmental impacts and sustainable use of digital technolo- gies to convey agency.","4. Veiligheid, welzijn en verantwoord gebruik\nRationale: 'Welzijn' en 'verantwoord gebruik' zijn toegevoegd aan de titel van het competentiegebied om het volledige scala aan competenties in dit gebied weer te geven.\nApparaten, inhoud, persoonsgegevens en privacy beschermen in digitale omgevingen. Het fysieke, mentale en sociale welzijn van zichzelf en anderen ondersteunen, en zich bewust zijn van de voordelen en risico's van digitale technologieën voor het welzijn en sociale inclusie. Bewust zijn van de milieu-impact van digitale technologieën en het gebruik ervan, actie ondernemen om deze impact te verminderen en digitale technologieën gebruiken ter ondersteuning van duurzaamheid.\nRationale: De formulering is aangepast om te verwijzen naar welzijn als bestaande uit fysieke, mentale en sociale aspecten. 'Van zichzelf en anderen' is toegevoegd om het belang van bewustzijn van het welzijn en de inclusie van anderen te benadrukken, niet alleen dat van jezelf. 'Actie ondernemen' is toegevoegd met betrekking tot milieueffecten en duurzaam gebruik van digitale technologieën om zelfsturing over te dragen."
